#,case,time/us,best_time/us
1,2024-0ZE-13,12906905,9908417
2,2024-1RK-26,19158879,622019
3,2024-1WO-11,1764,1764
4,2024-2D0-22,4494943,1490165
5,2024-2KM-21,10962215,1391573
6,2024-51P-30,25554646,4884249
7,2024-5HA-8,13244329,7987675
8,2024-5NG-2,17506571,13128613
9,2024-7UJ-12,-1,97644
10,2024-84M-11,5990861,1258534
11,2024-8NL-18,12880097,9914610
12,2024-931-6,7866812,3536664
13,2024-AZ7-32,15342334,2936527
14,2024-BE3-31,10952976,2838917
15,2024-BJV-10,58578759,8452331
16,2024-C64-14,1827,1803
17,2024-CH1-5,2086072,619584
18,2024-CH6-24,1442868,348195
19,2024-DCV-7,22065540,16496909
20,2024-ETJ-33,9305299,6118531
21,2024-FAF-19,62084578,7059931
22,2024-FI8-9,10502677,1880321
23,2024-FQX-25,1855,1763
24,2024-FVJ-15,22066837,16508584
25,2024-H17-1,1833,1764
26,2024-I4W-2,-1,1764451
27,2024-I9Y-15,547,496
28,2024-IG5-12,16048457,15259144
29,2024-JR2-21,1713,1713
30,2024-JVU-10,132126601,14175391
31,2024-K0I-17,48253723,21889102
32,2024-K22-4,8995841,4802443
33,2024-KVV-20,5885137,974527
34,2024-LN4-9,22089454,16496429
35,2024-LW8-7,81681598,11645416
36,2024-MXP-16,26033614,11961036
37,2024-NCY-23,22591161,19232414
38,2024-NKK-22,2578081,425720
39,2024-NT1-4,-1,2419854
40,2024-OBF-29,7192725,6066274
41,2024-PAF-17,8930968,1937627
42,2024-PCT-14,3110368,1657037
43,2024-PKP-8,10546811,1752303
44,2024-QV9-34,13839334,3893908
45,2024-T6G-27,7936151,1703511
46,2024-TBR-19,119535080,35203183
47,2024-U03-25,129124842,117439031
48,2024-U7D-6,58696110,8480330
49,2024-U7W-16,19797279,618506
50,2024-V6O-23,10222117,1953570
51,2024-VGH-20,9432098,5702822
52,2024-VRT-1,58595124,8466119
53,2024-VTF-5,12900831,9904735
54,2024-X7M-3,15980373,6513812
55,2024-XRB-24,1521309,767478
56,2024-XU5-13,9268133,294488
57,2024-Y60-18,6311803,1591704
58,2024-Z3A-28,7487500,3605247
